Timestamp,UUID,Who would you most want to have dinner with?,I believe AGI is likely within the next 10 years.,I would most want to work at:,I prefer working solo rather than on large collaborations.,Your model training style is closest to:,Most current AI benchmarks are meaningless.,Your research style is most like:,We should slow down AI progress until safety is better understood.,I believe creativity is more important than rigor in research.,Your favorite kind of contribution:,"If my paper gets rejected, I assume the reviewers misunderstood it.","I regularly abandon ideas that don’t show quick promise.
",What is your favorite ML related podcast?,I’d rather build a working prototype than write a perfect paper.,What is the primary bottleneck right now?,Which statement do you most agree with?,What are you interested in outside of your research and career?,What is your field of research and what field are you most interested in branching out into?,"I want to be e-mailed about future matches with people attending other AI research conferences (ICLR, CVPR, ICML, etc.)."
12/4/2025 17:18:29,31397092-7d9c-eec2-6610-eed9dd09fa18,Elon Musk,1,My Own Startup,3,Grid search and prayer,5,"Curator: I love organizing, benchmarking, and visualizing",5,5,Codebase that actually runs,5,5,The Dwarkesh Podcast,5,Compute: NVIDIA doesn't make enough H100s/Blackwells.,"We are hitting the data wall, reasoning is the new frontier.",,"Earrh Observation, Planetary Science",Yes
12/4/2025 17:19:31,ceba8796-6150-7a0b-3eeb-116f0e79b498,Yann LeCun,2,Anthropic,4,Careful tuning of every hyperparameter,4,"Hacker: try stuff, see what sticks",4,3,New model architecture,2,4,None,2,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,"Literature, photography, learning languages, film, running","I am in fairness and LLMs but would love to branch out to AI Safety, maybe interpretability. Would also love to explore AI and mental health and AI and applications for climate change ",Yes
12/4/2025 17:22:01,8f4c3f8a-7b5b-6ad0-3dd4-d60384399998,Elon Musk,1,Research lab at a top university,1,Careful tuning of every hyperparameter,4,Theorist: math is the real lens of truth,2,1,Deep theoretical insight,3,1,Lex Fridman,1,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,"Anime, videogames, art, novels, good messages, drawings.","PAC Learning, maybe interested also in Optimization Theory
",Yes
12/4/2025 17:23:14,753a13c5-a48a-7525-4aeb-63c67f3d7c77,Fei‑Fei Li,1,Anthropic,3,"Write the paper first, train when the rebuttal comes",5,"Philosopher: abstract, first-principles reasoning",2,4,Meme-worthy figures,4,2,None,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","Climbing and art, painting","Causal inference, branching into using causal insights to design better ",Yes
12/4/2025 17:24:19,c38e8491-a2ff-d3b3-6fdd-0b5b23f5802e,Geoffrey Hinton,2,Google DeepMind,4,"Train now, analyze later",4,Engineer: build systems that actually work,4,3,Better loss function,2,2,The Dwarkesh Podcast,3,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Sleep,"Embodied AI, CV ",
12/4/2025 17:24:52,ca3a73bc-a12f-b66b-0ca1-ea8235a23950,Jessica Chastain,4,My Own Startup,3,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,3,4,Better loss function,2,3,Latent Space,4,Energy: We can't build power plants fast enough.,"If it doesn't fit on a single GPU, it doesn't exist.",walk,manifold in biology,Yes
12/4/2025 17:27:22,adacceee-619c-89c0-a7ee-82290f26fc81,Fei‑Fei Li,3,My Own Startup,5,"Train now, analyze later",3,Engineer: build systems that actually work,3,5,Deep theoretical insight,5,5,Lex Fridman,3,Data: We have run out of quality human text.,Scale is all you need.,,,No
12/4/2025 17:30:45,d82a914d-f001-b830-3782-46904634b756,Richard Sutton,3,Anthropic,3,Careful tuning of every hyperparameter,4,Engineer: build systems that actually work,3,3,Deep theoretical insight,3,3,Lex Fridman,5,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,"Yoga, travelling, meditation, sauna, cold plunge",Multimodal ML; human-centered AI ,Yes
12/4/2025 17:31:33,3ca5b6bd-8a48-bd86-68d3-d4fab090b103,Christian Machens,3,Google DeepMind,2,Careful tuning of every hyperparameter,3,"Philosopher: abstract, first-principles reasoning",2,3,Deep theoretical insight,2,3,Theoretical Neuroscience Podcast,3,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","Urbanism, cycling, walking",NeuroAI,
12/4/2025 17:31:41,0198a44d-bf83-d8cf-cc14-d62d00f9d28d,Liang Wenfeng,4,My Own Startup,3,Copy whatever works on Twitter,5,Synthesizer: I connect ideas from many fields,1,5,New model architecture,4,4,None,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",,,Yes
12/4/2025 17:32:11,8b94c82f-4a51-7138-ee0a-66e1d9687c4b,Timnit Gebru,2,Research lab at a top university,2,Grid search and prayer,4,Engineer: build systems that actually work,3,3,Deep theoretical insight,2,2,None,2,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,,,
12/4/2025 17:36:10,224266fb-c6c3-948e-0f2b-99b6f144abe2,Alec Radford,3,Mid-sized Startup,2,Grid search and prayer,2,"Philosopher: abstract, first-principles reasoning",2,1,Deep theoretical insight,3,4,The Dwarkesh Podcast,4,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.",Making friends,Dara-centric machine learning,Yes
12/4/2025 17:36:52,58e991f9-1f17-0c5b-c33f-5b4d0425fff7,Ilya Sutskever,5,My Own Startup,3,Careful tuning of every hyperparameter,3,Engineer: build systems that actually work,1,2,Codebase that actually runs,4,2,The Dwarkesh Podcast,4,Energy: We can't build power plants fast enough.,"If it doesn't fit on a single GPU, it doesn't exist.",Venture capital ,Reinforcement Learning ,Yes
12/4/2025 17:41:08,ef1aa94f-c793-c2eb-6f34-5eab98ae9cd9,Ilya Sutskever,4,Anthropic,2,"Train now, analyze later",4,"Hacker: try stuff, see what sticks",3,4,Better loss function,2,3,SemiAnalysis,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"running, ukulele, improv","diffusion models, vision and language models, interpretability",Yes
12/4/2025 17:42:10,e3e0377e-f0c3-ac4c-932f-fe242d92bc72,Geoffrey Hinton,3,My Own Startup,3,"Train now, analyze later",3,Engineer: build systems that actually work,2,4,New model architecture,1,2,None,4,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.",Yoga,"Computer vision, to robotics, industrial applications","Yes, No"
12/4/2025 17:46:06,48b86fea-987b-90c3-5c05-8e706116324f,Andrew Ng,3,Google DeepMind,4,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,1,3,New model architecture,1,2,Lex Fridman,4,Energy: We can't build power plants fast enough.,Scale is all you need.,"Hiking, chess music",Safe learning to applications,Yes
12/4/2025 17:51:29,850b2f31-86db-4c96-ecbc-af4e796a7099,Richard Sutton,5,My Own Startup,1,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,1,5,Better loss function,5,5,The Robot Brains,5,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Solving protein folding is worth more than a better chatbot.,Finance,Theory,Yes
12/4/2025 17:52:47,737a6eda-390c-cc90-a486-86619306a59d,Geoffrey Hinton,2,My Own Startup,3,Copy whatever works on Twitter,3,"Curator: I love organizing, benchmarking, and visualizing",5,2,Meme-worthy figures,4,3,None,4,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.","Movies and tv series, travelling",Farming,Yes
12/4/2025 17:54:27,26db6b8c-76ed-e5a2-df70-9bf79da39b70,Demis Hassabis,5,Mid-sized Startup,3,Careful tuning of every hyperparameter,4,Engineer: build systems that actually work,2,4,Meme-worthy figures,4,4,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Philosophy, religion, family",AI systems building. Interested in RL,No
12/4/2025 18:00:25,4bd6250e-6a28-49e0-d0a5-bf38f7cff43f,Eliezer Yudkowsky,5,NVIDIA,3,Grid search and prayer,3,"Philosopher: abstract, first-principles reasoning",2,4,New model architecture,2,2,Machine Learning Street Talk,2,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",AI safety and AGI’s impact on human society ,AI + hardware architecture; hardware/software co-design ,Yes
12/4/2025 18:03:09,8777013a-7eab-349b-4455-fd4bea3b690a,Richard Sutton,2,Research lab at a top university,4,"Write the paper first, train when the rebuttal comes",5,"Philosopher: abstract, first-principles reasoning",5,5,Deep theoretical insight,5,1,Machine Learning Street Talk,1,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.",,,No
12/4/2025 18:03:40,0698f347-b796-7d90-6457-89aa5f4f581e,Kaiming He,5,Google DeepMind,5,Grid search and prayer,3,Synthesizer: I connect ideas from many fields,1,4,Deep theoretical insight,4,3,Lex Fridman,3,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",,,Yes
12/4/2025 18:04:01,87f27549-491f-7aa7-8024-94fa63611b54,Richard Sutton,3,Google DeepMind,3,Grid search and prayer,5,"Hacker: try stuff, see what sticks",2,5,New model architecture,1,4,No Priors,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Climbing, piano (neoclassical, baroque, or romantic), breadmaking","Machine learning in astrophysics, would love to branch into reinforcement learning",No
12/4/2025 18:04:11,5e18258f-2ee8-b27e-8b5b-ce4461b0716f,Geoffrey Hinton,3,Research lab at a top university,4,"Write the paper first, train when the rebuttal comes",4,"Hacker: try stuff, see what sticks",3,4,Cool dataset,4,3,Latent Space,5,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.","Classical music, art, hiking",Computational Neuroscience ,Yes
12/4/2025 18:04:34,fe177b3f-c305-386b-48f3-b9a158a288e3,Kaiming He,4,My Own Startup,4,Copy whatever works on Twitter,,"Curator: I love organizing, benchmarking, and visualizing",2,5,Codebase that actually runs,,,Last Week in AI / AI News,3,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Inductive bias is not a dirty word.,painting,data visualization,Yes
12/4/2025 18:04:43,0305a7af-0b2b-dbe2-3c7a-f17a0257c667,Elon Musk,4,Google DeepMind,4,Grid search and prayer,2,"Hacker: try stuff, see what sticks",1,3,Codebase that actually runs,1,4,Latent Space,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Sports,Reasoning,Yes
12/4/2025 18:07:12,67243ceb-76e0-b016-dde8-0704bf1d119b,Andrej Karpathy,3,Anthropic,2,Grid search and prayer,3,"Curator: I love organizing, benchmarking, and visualizing",2,4,New model architecture,2,4,The Dwarkesh Podcast,3,Energy: We can't build power plants fast enough.,"We are hitting the data wall, reasoning is the new frontier.",Dancing,Bioacoustics and reasoning,Yes
12/4/2025 18:12:15,9b3b53c1-b09c-13f1-776f-68ec760ce1e1,Andrej Karpathy,3,Google DeepMind,2,Copy whatever works on Twitter,4,Engineer: build systems that actually work,4,3,Codebase that actually runs,4,4,No Priors,5,Energy: We can't build power plants fast enough.,Scale is all you need.,,,Yes
12/4/2025 18:16:48,d1e88b0b-1b11-53c2-b89f-7d644c0d3d04,Andrej Karpathy,1,Mid-sized Startup,3,"Train now, analyze later",4,"Hacker: try stuff, see what sticks",4,1,Codebase that actually runs,2,1,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Exercise, fashion food","Vision language and uncertainty, i want to break into model reasoning beyond llms",Yes
12/4/2025 18:17:16,2569093f-8ca0-3a22-2a7a-ddba81878ccd,Fei‑Fei Li,4,NVIDIA,1,"Write the paper first, train when the rebuttal comes",3,"Hacker: try stuff, see what sticks",1,5,New model architecture,1,5,Machine Learning Street Talk,5,Data: We have run out of quality human text.,"If it doesn't fit on a single GPU, it doesn't exist.",Videogames,Human pose estimation,Yes
12/4/2025 18:22:41,e95a8701-094a-1926-7d49-8bf4f3583e1d,Kaiming He,4,Research lab at a top university,1,Careful tuning of every hyperparameter,4,"Curator: I love organizing, benchmarking, and visualizing",2,3,New model architecture,1,5,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Music,Model merging,No
12/4/2025 18:26:38,e81b51a0-219c-d6bf-dcf0-494ddc293475,Andrew Ng,2,OpenAI,4,"Train now, analyze later",3,Synthesizer: I connect ideas from many fields,4,3,Better loss function,2,2,Lex Fridman,2,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Solving protein folding is worth more than a better chatbot.,"photography, sports, music instruments","model meeging, modularity, multimodality",Yes
12/4/2025 18:28:04,302c35ca-1d67-978a-b842-a1641698e670,Yann LeCun,4,Google DeepMind,3,"Train now, analyze later",3,"Philosopher: abstract, first-principles reasoning",2,3,Deep theoretical insight,2,3,Huberman Lab,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",cognitive sciences and arts,"Optimizations, connections with cognitive science",Yes
12/4/2025 18:28:15,69ff2512-f031-587e-1bbe-52591e3db08f,Yann LeCun,1,Google DeepMind,3,"Train now, analyze later",5,Synthesizer: I connect ideas from many fields,3,5,Codebase that actually runs,5,3,The Dwarkesh Podcast,5,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.","Hiking, music, cycling, trading. ",Statistical finance - > AI,Yes
12/4/2025 18:38:52,cacbf38e-dbab-1f02-5a60-723b2279d0ce,Andrej Karpathy,2,Google DeepMind,3,Grid search and prayer,2,"Philosopher: abstract, first-principles reasoning",1,2,Codebase that actually runs,3,3,The Dwarkesh Podcast,4,Energy: We can't build power plants fast enough.,"We are hitting the data wall, reasoning is the new frontier.",Soccer,"NCO, Finance ",Yes
12/4/2025 18:41:00,f4feec28-8088-71fa-8ddf-9c4dd49d820a,Ilya Sutskever,5,Anthropic,3,Grid search and prayer,4,Synthesizer: I connect ideas from many fields,3,4,Cool dataset,3,4,None,4,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.","Neuroscience, consciousness",,Yes
12/4/2025 18:41:07,525e442d-bacb-40b9-53b8-265da884b0ea,Elon Musk,4,My Own Startup,3,Grid search and prayer,3,"Curator: I love organizing, benchmarking, and visualizing",4,4,Codebase that actually runs,3,5,The Robot Brains,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Swimming, travelling, Bar hopping","Computer vision , RL",Yes
12/4/2025 18:42:10,47b48ab7-7f59-97a5-4563-a8b5bc6a5346,Kaiming He,4,Mid-sized Startup,4,"Train now, analyze later",3,"Curator: I love organizing, benchmarking, and visualizing",2,4,Deep theoretical insight,2,2,Lex Fridman,2,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,"Boardgames, Video Games, Swimming ","Interpretability, branch out to agentic rl",Yes
12/4/2025 18:43:58,3b0463fe-33d3-8e4c-0fc8-fa1950788bad,Elon Musk,2,My Own Startup,4,Careful tuning of every hyperparameter,4,Engineer: build systems that actually work,3,3,New model architecture,1,2,None,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Make a better world,Plug & Play Intelligence to save Industrisl Power Consumption,Yes
12/4/2025 18:44:45,6ae8bc96-155b-f5d4-c4b8-e62a232b076e,Andrew Ng,2,Research lab at a top university,3,"Train now, analyze later",3,"Hacker: try stuff, see what sticks",2,4,Codebase that actually runs,5,4,None,5,"Intelligence: The models aren't actually smart, they just memorize.","If it doesn't fit on a single GPU, it doesn't exist.",,,Yes
12/4/2025 18:45:55,90e972f1-9873-673f-1fe8-48be5f4c22ca,Andrej Karpathy,3,Google DeepMind,3,Grid search and prayer,5,"Curator: I love organizing, benchmarking, and visualizing",1,3,Codebase that actually runs,5,2,The Dwarkesh Podcast,1,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Food and dota,AI safety and multimodal learning ,Yes
12/4/2025 18:48:03,ac18d70f-ec28-7011-8306-42487503844a,Fei‑Fei Li,1,My Own Startup,1,Careful tuning of every hyperparameter,4,Theorist: math is the real lens of truth,3,4,Deep theoretical insight,4,3,The Dwarkesh Podcast,3,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"playing music (jazz, classical), scuba diving, running, rock climbing, reading novels, writing","quantitative trading, mathematics, most interested in branching into quantum computing",Yes
12/4/2025 18:48:23,7c506a2a-c1e0-cac1-3935-7f73a87e1532,Geoffrey Hinton,,Research lab at a top university,2,Copy whatever works on Twitter,3,Theorist: math is the real lens of truth,3,4,Deep theoretical insight,4,2,None,2,"Intelligence: The models aren't actually smart, they just memorize.",p(doom) is > 10%; we must pause giant runs.,Live music,Diffusion model theory. Data attribution,Yes
12/4/2025 18:54:41,355cfbdb-cd75-b597-98e3-b2bfbaccf93a,Alec Radford,2,My Own Startup,5,"Train now, analyze later",3,Engineer: build systems that actually work,3,5,Meme-worthy figures,5,2,Machine Learning Street Talk,5,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Living a life where I try new things are the time and celebrate people for their journeys ,"Health AI, wanna branch out to audiovisual dubbing ",Yes
12/4/2025 19:00:40,808186f6-89d1-16ec-45e3-e21697282749,Sam Altman,4,Google DeepMind,2,"Train now, analyze later",4,"Curator: I love organizing, benchmarking, and visualizing",2,3,Codebase that actually runs,4,2,No Priors,4,"Intelligence: The models aren't actually smart, they just memorize.",Scale is all you need.,swimming,MLLM / world models,Yes
12/4/2025 19:02:12,9af1cd2d-2ad4-3da4-1e6a-2d494639b5d6,Andrej Karpathy,5,Google DeepMind,3,"Train now, analyze later",5,"Philosopher: abstract, first-principles reasoning",3,4,Deep theoretical insight,2,4,Lex Fridman,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,melodic techno,memory and theory of mind,Yes
12/4/2025 19:03:09,480ff487-161f-c597-0dd4-bd3ac2b49e45,Andrej Karpathy,3,Google DeepMind,1,Grid search and prayer,2,"Philosopher: abstract, first-principles reasoning",2,2,Deep theoretical insight,2,4,The Dwarkesh Podcast,1,Data: We have run out of quality human text.,Scale is all you need.,"Swing dance, Opera, Nature","Continual learning, multi-modality, DL theory, LLM scaling",Yes
12/4/2025 19:06:52,33014f39-40b1-3379-ac99-b3fafdc4bcce,Noam Shazeer,5,OpenAI,3,"Train now, analyze later",3,Engineer: build systems that actually work,2,3,Codebase that actually runs,4,5,No Priors,5,Energy: We can't build power plants fast enough.,p(doom) is > 10%; we must pause giant runs.,,,Yes
12/4/2025 19:10:52,0077345d-4512-96bd-2ef1-b87e286a99b4,Richard Sutton,3,Google DeepMind,3,Grid search and prayer,4,Theorist: math is the real lens of truth,2,4,Deep theoretical insight,3,3,Lex Fridman,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Gym,Training dynamics and optimization ,Yes
12/4/2025 19:13:15,0bed921a-23a2-8c51-e3ca-dae4e521c847,Andrej Karpathy,3,Google DeepMind,1,Grid search and prayer,4,Synthesizer: I connect ideas from many fields,4,4,Deep theoretical insight,2,2,None,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Writing poems,Graph Machine Learning. Now pivoted to Diffusion models for Graphs not just molecules stuff ,Yes
12/4/2025 19:13:48,a7357c3f-db2f-b078-bb04-256638550cce,Fei‑Fei Li,2,Research lab at a top university,4,Grid search and prayer,4,"Curator: I love organizing, benchmarking, and visualizing",4,2,Deep theoretical insight,4,5,None,2,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,Singing in a choir and playing the sims,I work on graph learning and I would like to broaden to applications to chemistry,Yes
12/4/2025 19:17:20,b9ddbf8e-508c-bc37-be8b-ccbd15098854,Ilya Sutskever,3,Research lab at a top university,2,"Train now, analyze later",5,Synthesizer: I connect ideas from many fields,2,5,Deep theoretical insight,2,1,The Gradient,4,Data: We have run out of quality human text.,"If it doesn't fit on a single GPU, it doesn't exist.","Nature, sports, music, dance, truths about the world, philosophy, art. ","I currently work in the industry, so the field is mostly related to applications. I’m interested in branching into AI safety/alignment, Creative AI, AI medicine, and Neuroscience. ",Yes
12/4/2025 19:18:26,1c9c0ad2-ca08-b6d2-ce2a-20f3ccbe4a4a,Geoffrey Hinton,4,Anthropic,3,"Write the paper first, train when the rebuttal comes",3,"Hacker: try stuff, see what sticks",3,3,Deep theoretical insight,2,2,Machine Learning Street Talk,4,Energy: We can't build power plants fast enough.,Inductive bias is not a dirty word.,Hobby perfumery,I’ve contributed to a few but probably computer vision,Yes
12/4/2025 19:23:56,22a68507-b2b1-62fb-e628-f5e7deb39765,Andrew Ng,5,Anthropic,2,Copy whatever works on Twitter,5,"Hacker: try stuff, see what sticks",3,4,Codebase that actually runs,5,5,Lex Fridman,2,Energy: We can't build power plants fast enough.,Inductive bias is not a dirty word.,Touching grass,Medical record LLMs and other biomed things. I'm interested in branching out into model understanding and intelligence ,Yes
12/4/2025 19:30:39,6de96212-8201-8366-336c-ccd8cf6ec7e3,Kaiming He,2,Google DeepMind,3,Careful tuning of every hyperparameter,3,Synthesizer: I connect ideas from many fields,2,2,Deep theoretical insight,1,2,Lex Fridman,3,Energy: We can't build power plants fast enough.,Inductive bias is not a dirty word.,Music,Robustness and Uncertainty Quantification. I am interested in exploring RL ,Yes
12/4/2025 19:37:22,227f7364-060f-e00b-c97f-ea7a7d5d3c52,Geoffrey Hinton,2,Research lab at a top university,3,"Train now, analyze later",3,Synthesizer: I connect ideas from many fields,4,3,New model architecture,2,3,None,3,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,"Music, motorcycles, football","AI for science, high performance computing",Yes
12/4/2025 19:39:12,3b24cfc7-37b4-9a82-9525-82d739743916,Timnit Gebru,1,My Own Startup,2,"Train now, analyze later",5,Synthesizer: I connect ideas from many fields,3,4,Deep theoretical insight,2,4,The Dwarkesh Podcast,4,Data: We have run out of quality human text.,Solving protein folding is worth more than a better chatbot.,Filmmaking,Computer Vision,Yes
12/4/2025 19:42:39,56f4eee4-2898-3b55-4cad-f18fd2f97920,Fei‑Fei Li,2,Research lab at a top university,4,Grid search and prayer,5,Synthesizer: I connect ideas from many fields,4,5,New model architecture,2,2,None,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.","Art (large-scale metalworking, jewelry making, pottery, watercolor)! the outdoors! hosting deeply elaborate large meme-worthy gatherings!",computer vision / 4d human reconstruction / computational photography. would love to learn more about vision for robotics.,Yes
12/4/2025 19:45:06,8c2921e8-1910-449c-dcd3-c88f0cf26543,Yann LeCun,2,Research lab at a top university,2,"Train now, analyze later",4,"Hacker: try stuff, see what sticks",2,4,Meme-worthy figures,4,5,Last Week in AI / AI News,4,Compute: NVIDIA doesn't make enough H100s/Blackwells.,Solving protein folding is worth more than a better chatbot.,"Music, anime, beer","Multimodal learning, representation learning, synthetic data training",No
12/4/2025 19:46:49,0e842d21-4dd9-2e72-bcb9-7c56d3ab33b9,Fei‑Fei Li,5,My Own Startup,3,"Train now, analyze later",5,Synthesizer: I connect ideas from many fields,4,3,Codebase that actually runs,5,2,Philosophize This!,5,Data: We have run out of quality human text.,"If it doesn't fit on a single GPU, it doesn't exist.","Music/jazz, desserts, fish, cats, travel, outdoors, altered states of consciousness",I’ll fit into whatever box I need to ,No
12/4/2025 19:49:09,c4affd26-75df-6790-c618-7e4ed618efdf,Ilya Sutskever,4,Safe Super Intelligence ,2,"Train now, analyze later",4,"Philosopher: abstract, first-principles reasoning",4,4,Better loss function,5,1,Lex Fridman,2,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",Movie Making and Acting,LLMs and I would like to get into astrophysics,Yes
12/4/2025 20:09:03,e65cd4d2-d93e-0f4b-f072-eebb255451c0,Geoffrey Hinton,1,Research lab at a top university,2,"Write the paper first, train when the rebuttal comes",5,"Philosopher: abstract, first-principles reasoning",3,4,Deep theoretical insight,2,4,None,2,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Bird watching,Safety/Diffusion/Model Composition,Yes
12/4/2025 20:12:06,e2970d77-772c-3792-4f8d-576ee85d340e,Sam Altman,4,OpenAI,5,Copy whatever works on Twitter,1,Synthesizer: I connect ideas from many fields,3,4,New model architecture,3,2,Last Week in AI / AI News,5,"Intelligence: The models aren't actually smart, they just memorize.",Scale is all you need.,Startup,Edtech,Yes
12/4/2025 20:45:59,0204e3da-8e9e-f12d-88c9-8c6e955f8340,Ilya Sutskever,5,My Own Startup,3,Careful tuning of every hyperparameter,3,Synthesizer: I connect ideas from many fields,1,4,Deep theoretical insight,3,4,Machine Learning Street Talk,4,Data: We have run out of quality human text.,Scale is all you need.,Skiing ,"Cross-model transfer, AI psychology ",Yes
12/4/2025 20:59:32,0c0e6c2a-ed24-5e40-e9a2-9537782cbf44,Demis Hassabis,2,Google DeepMind,3,Careful tuning of every hyperparameter,5,Theorist: math is the real lens of truth,4,1,Deep theoretical insight,2,2,None,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Guitar, piano, games, football (soccer)","Interpretability/explainability, looking towards upskilling in LLM slop to be more employable",Yes
12/4/2025 21:19:35,942d8643-f8e7-3fda-96c5-f9de30266209,Alec Radford,5,My Own Startup,2,Careful tuning of every hyperparameter,2,Engineer: build systems that actually work,4,5,New model architecture,5,5,Last Week in AI / AI News,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Design,Application,Yes
12/4/2025 21:31:13,34e1c7f6-cee1-44a5-7c65-67cb444bfedd,Elon Musk,4,My Own Startup,3,"Train now, analyze later",2,"Curator: I love organizing, benchmarking, and visualizing",2,3,Meme-worthy figures,2,3,Lex Fridman,4,Energy: We can't build power plants fast enough.,Scale is all you need.,"History, strategy games, travel to asia and europe, controversial theories",Relationship Outcome Predictions and Human Personality Embeddings,Yes
12/4/2025 21:49:31,ad4c823b-5f78-c8d5-7f4a-339a22e95a1d,Demis Hassabis,2,Google DeepMind,4,Careful tuning of every hyperparameter,3,Engineer: build systems that actually work,4,3,New model architecture,2,2,Lex Fridman,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,Family and Cycling,Probabilistic Machine learning and graph neural networks. Computational chemistry. ,Yes
12/4/2025 22:10:57,c598ba86-ed3e-4e04-b623-f1f7360592d5,Ilya Sutskever,2,Google DeepMind,3,Grid search and prayer,2,"Philosopher: abstract, first-principles reasoning",3,3,Deep theoretical insight,3,4,Machine Learning Street Talk,2,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,Hiking ,AI for Software Engineering ,Yes
12/4/2025 22:18:23,646a3471-1088-bfb7-73bd-20011a9c95e7,Elon Musk,2,Google DeepMind,5,"Train now, analyze later",3,"Hacker: try stuff, see what sticks",1,2,Meme-worthy figures,1,4,None,4,Data: We have run out of quality human text.,"If it doesn't fit on a single GPU, it doesn't exist.","badminton, hiking ","robotics (humanoids, manipulators, robotaxis). interested in robotics and cv ",Yes
12/4/2025 22:30:10,fdc6a37e-f159-aaa8-e0e9-75f5dc667b26,Andrew Ng,3,Anthropic,2,"Train now, analyze later",3,Engineer: build systems that actually work,1,4,New model architecture,1,4,Last Week in AI / AI News,4,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Swimming, kayak, running, hiking, travel, music, fitness",Currently llm training. I want to specialise in deep learning,Yes
12/4/2025 22:36:04,9cb25634-7bec-9936-985e-98db139996e2,Elon Musk,1,My Own Startup,5,Careful tuning of every hyperparameter,4,"Philosopher: abstract, first-principles reasoning",1,5,New model architecture,1,1,Latent Space,4,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Chess ,"Geospatial AI, GNN , diffusion models, probabilistic graphical models, clustering ",Yes
